"name","Lwr95CI","Estimate","Upr95CI","t value","p value"
"(Intercept)",-4.68394676402089,-4.64044948231304,-4.5969522006052,-209.107635329178,0
"log10(Length)",2.86419967240215,2.88182491293474,2.89945015346734,320.482631453962,0
"Year2004",0.0776323437535476,0.158689406998647,0.239746470243746,3.83732896097191,0.000124726950930576
"Year2007",-0.325416696109543,-0.261675310995454,-0.197933925881365,-8.04661479560387,8.88178419700125e-16
"Year2010",-0.439211844312124,-0.378072929782418,-0.316934015252712,-12.1207590480625,0
"Year2013",-0.631399796869741,-0.571573760463735,-0.511747724057729,-18.7263877330536,0
"Year2016",-0.254402124878736,-0.138906303433657,-0.0234104819885775,-2.35736939546988,0.0184136265631083
"Year2019",-0.358965765916541,-0.295004687691075,-0.231043609465608,-9.04034698515999,0
"Year2022",-0.545788760901879,-0.482610305358675,-0.419431849815472,-14.9726800877366,0
"log10(Length):Year2004",-0.0835020831180894,-0.0513228611630926,-0.0191436392080958,-3.12613176422264,0.00177352506350359
"log10(Length):Year2007",0.0776499101697048,0.103317400928121,0.128984891686537,7.88972774668208,3.10862446895044e-15
"log10(Length):Year2010",0.1188490549276,0.143526254389835,0.168203453852071,11.4000679189686,0
"log10(Length):Year2013",0.18957206344471,0.21363759341927,0.23770312339383,17.4001986276086,0
"log10(Length):Year2016",0.00486673414352984,0.0500392805680151,0.0952118269925002,2.17124305936677,0.0299234448919421
"log10(Length):Year2019",0.0869323670723657,0.112738356605355,0.138544346138344,8.5629447529418,0
"log10(Length):Year2022",0.156290019791419,0.181961254163263,0.207632488535107,13.8932588993583,0
